X1,PROGRAM,ORG PHONE,DISTADD,DIS,DBIOSRTOZI,DAYS,HOURS
SK,BROADWAY COMMUNITY,212-864-6100,601 WEST 114TH STREET,NY,10025,"M,W,F",10:15AM-2PM
FP,BRONX BETHANY COMMUNITY CORPORATION,718-231-5276,971 EAST 227TH STREET,BX,10466,"WED(1,2,3,4)/TH(1,2,3,4",9-11AM/3-6PM
FP,BRONX SEVENTH DAY ADVENTIST CHURCH,718-618-7344,1695 WASHINGTON AVENUE,BX,10457,"THUR(1,2,3,4)",2-5PM
FP,BRONX TEMPLE SDA CHURCH,718-842-4504,495 WILLIS AVENUE,BX,10455,"TUE,THUR",12-1PM
FP,BRONX WORKS,718-508-3040,1130 GRAND CONCOURSE,BX,10456,"SAT (1ST,3RD)",9AM-1PM
FP,BROOKLYN RESCUE MISSION URBAN HARVEST CENTER IN,917-426-3001,919 GATES AVENUE,BK,11221,"TUE,WED,THUR",10AM-12PM
FP,BROOKLYN WEST FAMILY CENTER,(718) 722-6001,191 JORALEMON STREET,BK,11201,THUR,9:30AM-12PM&1:30-3PM
FP,BROWN MEMORIAL BAPTIST CHURCH FOOD PANTRY,718-638-6121,484 WASHINGTON AVENUE,BK,11238,TUE,9-11AM
FP,BROWNSVILLE TEMPLE SDA CHURCH,718-345-3689,1089 CLARKSON AVE,BK,11212,"SUN (1,3)",11AM-1PM
FP,CABRINI IMMIGRANT SERVICES OF NEW YORK CITY INC,(212) 791-4590,139 HENRY STREET,NY,10002,TUE,9:30AM-12:30PM
FP,CALVARY ASSEMBLY OF GOD,718-356-4555,4055 RICHMOND AVENUE,SI,10312,SUN,1-3PM
FP,CALVARY BAPTIST CHURCH,(718) 297-2301,111-10 GUY BREWER BLVD,QN,11433,WED/THUR,10AM-12PM/11:30AM-1:30PM
FP,CALVARY PENTECOSTAL CHURCH,(718) 469-8252,151 WOODRUFF AVENUE,BK,11226,THUR,11AM-1PM
FP,CATHOLIC CHARITIES,718-722-6001,2866 WEST 17TH STREET,BK,11224,MON,9:30AM-1:30PM
FP,CENTER FOR FAMILY LIFE,(718) 492-3585,443 39TH STREET,BK,11232,"M/W,THUR",10AM-1PM/11AM-1PM
FP,CHILD DEVELOPMENT SUPPORT CORPORATION,718-398-2050,352-358 CLASSON AVE,BK,11238,THUR,12-2PM
FP,CHILDREN OF THE LIGHT INTERNATIONAL MINISTRIES INC,347-794-4130,1171 EAST 95TH STREET,BK,11236,W/F/SAT,4-6P/12-2P/2-4P
FP,CHRIST ABUNDANT LIFE MINISTRIES,718-273-0372,121 GRANDVIEW AVENUE,SI,10303,THUR,6-7PM
FP,CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY,718-284-7479,622 CORTELYOU ROAD,BK,11218,"TUE(1,3)/SAT(2,4)",6:30-7:30PM/11AM - 2PM
FP,"CHRIST APOSTOLIC CHURCH OF AMERICA, INC",718-658-8981,108-02 SUTPHIN BLVD,QN,11435,SAT,10AM-12PM
FP,CHRIST CHURCH INTERNATIONAL JOSEPH'S HOUSE,718-276-2799,122-20 MERRILL STREET,QN,11434,"SAT (2,4)",10AM-12PM
FP,CHRIST DISCIPLES INTERNATIONAL MINISTRIES,718-994-5422,3021-31 WEBSTER AVENUE,BX,10467,"WED,SAT/FRI",10:30AM-1PM/9-10PM
FP,CHRIST JESUS BAPTIST CHURCH,NONE,1812 WHITE PLAINS ROAD,BX,10462,WED,12-1:30PM
FP,CHRISTIAN CULTURAL CENTER,718-306-1000,1400 LINDEN BLVD,BK,11212,THUR,10AM-1PM
FP,CHRISTIAN FELLOWSHIP SDA COMMUNITY SVCS-F.P.,718-469-2050,777 SCHENECTADY AVENUE,BK,11203,"WED(1,2,3,4)",10:30AM-12:30PM
FP,CHRISTIAN PENTACOSTAL CHURCH,(718) 273-5850,900 RICHMOND ROAD,SI,10304,TUE/WED,6-8PM/6-7:30PM
FP,CHURCH OF GOD (BK),(718) 346-4897,627-29 REMSEN AVE,BK,11236,SAT,1-2:30PM
FP,CHURCH OF GOD FEEDING THE HUNGRY,718-230-5955,836 CLASSON AVE,BK,11238,THUR,11:30AM-1:30PM
FP,CHURCH OF GOD OF SALVATION,(718) 941-8195,1615 NOSTRAND AVE,BK,11226,"TUE,THUR",9-11AM
FP,CHURCH OF GOD SEVENTH DAY PENTECOSTAL,(718) 221-9718,922 ST. MARKS AVE,BK,11213,TUE,4-6:30PM
FP,"CHURCH OF GOD, INC.",(718) 493-3031,1011 WINTHROP STREET,BK,11212,SAT,2-3PM
FP,CHURCH OF NOTRE DAME,212-866-1500,405 WEST 114TH STREET,NY,10025,TUE,2-4PM
FP,CHURCH OF PRAISE AND WORSHIP GOD IN CHRIST,347-462-5679,526 RALPH AVENUE,BK,11233,SAT,12:30-2:30PM
FP,CHURCH OF THE ANNUNCIATION,(212) 234-1919,88 CONVENT AVE,NY,10027,TUE,10:30-11:30AM
FP,CHURCH OF THE ATONEMENT FOOD PANTRY,718-828-6078,1344 BEACH AVENUE,BX,10472,"SAT (2,4)",10AM-12PM
FP,CHURCH OF THE CRUCIFIXION,(212) 281-0900,459 WEST 149TH STREET,NY,10031,WED,10AM-1PM
FP,CHURCH OF THE VILLAGE UNITED METHODIST CHURCH,212-243-5470,201 WEST 13TH STREET,NY,10011,TUE,1-2:30PM
FPM,CITY HARVEST - ASTORIA MOBILE MARKET,646-412-0740,7-1 ASTORIA BLVD,QN,11102,"THUR(3),SAT(1)",9:30AM-12PM
FPM,CITY HARVEST - BED-STUY MOBILE MARKET,646-412-0740,736 PARK AVENUE,BK,11206,"WED(3),SAT(1)",9:30AM-12PM
FPM,CITY HARVEST - MARINER'S HARBOR MOBILE MARKET,646-412-0740,22 ROXBURY STREET,SI,10303,"WED(1),SAT(3)",9:30AM-12PM
FPM,CITY HARVEST - MELROSE MOBILE MARKET,646-412-0740,286 EAST 156TH STREET,BX,10451,"WED(4),SAT(2)",9:30AM-12PM
FPM,CITY HARVEST - ST. MARY'S MOBILE MARKET,646-412-0740,595 TRINITY AVENUE,BX,10455,"TUE(4),SAT(2)",9:30AM-12PM
FPM,CITY HARVEST - STAPLETON MOBILE MARKET,646-412-0740,75 HILL STREET,SI,10304,"TUE(1),SAT(3)",9:30AM-12PM
FPM,CITY HARVEST MOBILE MARKET - DYCKMAN HOUSES,646-412-0740,177 NAGLE AVENUE,NY,10034,"WED(2),SAT(4)",9:30-11:30AM
FPM,CITY HARVEST MOBILE MARKET - PRINCE HALL,646-412-0740,454 WEST 155TH STREET,NY,10032,"THU(2),SAT(4)",9:30-11:30AM
FPM,CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES,646-412-0740,10-25 41ST AVENUE,QN,11101,"TUE(2),SAT(4)",9:30-11:30AM
SKM,COALITION FOR THE HOMELESS,(212) 369-9220,108 EAST 51ST STREET,NY,10022,MON-FRI,6:30-10PM
FP,COME WORLD MINISTRIES INC,646-377-0132,1034 PROSPECT AVE,BX,10459,WED,9-11AM
FP,COMMUNITY ALLIANCE INITIATIVE,718-305-4888,60-85 MYRTLE AVENUE,QN,11385,WED,10AM -12PM
FP,COMMUNITY HEALTH ACTION OF STATEN ISLAND,718-808-1840,2134 RICHMOND TERRACE,SI,10302,WED/FRI/SAT,12-4P/2-6P/10A-2P
FP,COMMUNITY IMPACT,(212) 316-7085,616 WEST 114TH STREET,NY,10025,"MON,THUR",12-2PM
FP,COMMUNITY LEAGUE OF THE HEIGHTS,212-795-4779,508 WEST 159TH STREET,NY,10032,"WED,SAT",9AM-11AM
FP,COMMUNITY SERVICES HOUSING DEVELOPMENT CORP.,646-794-5961,547 HOWARD AVE,BK,11233,THUR,10AM-12PM
SK,COMPASSION HOUSE COMMUNITY DEVELOPMENT CORPO,7A1T8IO-3N86-8151,43 GEORGE STREET,BK,11206,"TUE (1,3)",8-9:30AM
SKK,CONGREGATION B'NAI JESHURUN,(212) 787-7600,257 WEST 88TH STREET,NY,10024,THUR,12-1PM
FP,COOP CITY SDA CHURCH FOOD PANTRY,718-320-0518,1010 BAYCHESTER AVENUE,BX,10475,WED,5:30-7PM
FP,COPO FOOD PANTRY,718-434-3266,1077 CONEY ISLAND AVENUE,BK,11230,FRI,1:30-4:50PM
FP,CORNERSTONE BAPTIST FOOD PANTRY,718-574-9000,562-574 MADISON STREET,BK,11221,TUE,11AM-2PM
FP,CORNERSTONE SEVENTH DAY ADVENTIST CHURCH,(718) 483-9753,138 PENNSYLVANIA AVE,BK,11207,THUR,10AM-12PM
FP,CORONA S.D.A. CHURCH,(718) 429-7050,35-30 103RD STREET,QN,11368,MON,9-11AM
FP,CORPUS CHRISTI FOOD PANTRY,(718) 278-8114,31-30 61ST STREET,QN,11377,WED,11AM-1PM
SK,"CRESTON AVENUE BAPTIST CHURCH OF CHRIST, INC",(718) 367-1754,114 EAST 188TH STREET,BX,10468,SAT,12-2PM
FP,"CRESTON AVENUE BAPTIST CHURCH, INC",(718) 367-1754,114 EAST 188TH STREET,BX,10468,"MON,WED,FRI",12-2PM
FP,CROSSOVER BAPTIST CHURCH COMMUNITY OUTREACH H,L7P1 8C-3E2N2T-1E2R00,85-12 101ST AVENUE,QN,11416,"FRI/SUN(2ND,4TH)",9AM-12P/1-3PM
FP,CROSSROADS COMMUNITY SERVICES INC,212-378-0234,108 EAST 51ST STREET,NY,10022,THUR,11:30AM-2:30PM
FPK,CROWN HEIGHTS JEWISH COMMUNITY COUNCIL,718-771-9000,899 MONTGOMERY STREET,BK,11213,WED,1:30-3PM
FP,CUYLER WARREN U.M.C.,718-624-3300,424 DEAN STREET,BK,11217,TUE,1-2:45PM
FP,DAVIDSON COMMUNITY CENTER INC,718-731-6360,2038 DAVIDSON AVENUE,BX,10453,WED,10-11AM
FP,DELIVERANCE TEMPLE CHURCH OF JESUS CHRIST,(718) 529-1993,134-10 ROCKAWAY BLVD,QN,11420,TUE,5:30-6:30PM
FP,DEPARTMENT OF PROBATION BRONX OFFICE,718-802-4500,198 EAST 161ST STREET,BX,10451,FRI,9AM - 12PM
FP,DEPARTMENT OF PROBATION MANHATTAN OFFICE,212-851-1403,127 WEST 127TH STREET,NY,10027,MON,9AM-12PM
FP,DEPARTMENT OF PROBATION STATEN ISLAND OFFICE,718-876-7395,340 BAY STREET,SI,10301,MON,9AM-12PM
FP,DEWITT REFORMED CHURCH,(212) 674-3341,280 RIVINGTON STREET,NY,10002,"MON,THUR",10AM-12PM
FP,EAST NEW YORK WESLEYAN CHURCH/NEW HOPE FAMILY,7O1R8-S3H42IP-1 C3E05NTE,817 LIVONIA AVENUE,BK,11207,SAT,10AM - 12PM
SK,EASTCHESTER PRESBYTERIAN CHURCH,(718) 798-1855,3154 FISH AVENUE,BX,10469,THUR,5-6PM
FP,EBENEZER SEVENTH DAY ADVENTIST CHURCH,(718) 778-7900,1234 EAST NEW YORK AVENUE,BK,11212,WED,10:30AM-12PM
FP,EGLISE BAPTISTE DE LA COMMUNION FRATERNELLE,718-693-8214,2549 CHURCH AVENUE,BK,11226,SAT,12-4PM
FP,ELMCOR YOUTH & ADULT ACTIVITIES #2,(718) 651-0096,33-16 108TH STREET,QN,11368,WED,10AM-2PM
FP,ELOHIM COMMUNITY DEVELOPMENT & OUTREACH INC,(917) 418-7906,87-47 111TH STREET,QN,11418,FRI,9-11AM
FP,EMANUEL PENTECOSTAL FAITH CHURCH,(718) 842-4092,1310 ELDER AVE,BX,10472,WED,5-6PM
FP,EMMAUS SDA CHURCH,718-287-2121,1144 FLATBUSH AVENUE,BK,11226,TUE,12-3PM
FPK,ESTHER GRUNBLATT-CENRAL QUEENS Y,718-704-8160,67-09 108TH STREET,QN,11375,"M,TUE,THU/W",9AM-3PM/9AM-2PM
FP,"EVERY DAY IS A MIRACLE, INC",347-618-1162,2427 MORRIS AVENUE,BX,10468,FRI,9-11AM
SK,"FAITH CENTER FOR HUMAN SERVICES, INC",347-614-3235,1014-18 GATES AVENUE,BK,11221,SAT,9:30AM-12PM
FP,FAMILY INTEGRATION MINISTRY FOOD PANTRY,212-939-9292,1875 AMSTERDAM AVENUE,NY,10031,THUR,8-11AM
FP,FAMILY LIFE DEVELOPMENT CENTER,(718) 636-4938,1476 BEDFORD AVE,BK,11216,MON,4-6PM
FP,FAMILY SERVICE NETWORK OF N.Y. INC,718-455-6010,1420 BUSHWICK AVENUE,BK,11207,"MON,WED",9AM-1PM
FP,FATHER CREAVIN'S FOOD PANTRY,212-281-2100,276 WEST 151ST STREET,NY,10039,"TUE(2,3,4,5)",9-10AM
FP,FEEDING WITH TLC INC,(718) 447-0526,309 ST. PAULS AVENUE,SI,10304,SAT,11AM-1PM
FP,FELLOWSHIP COVENANT CHURCH,718-829-2116,720 CASTLE HILL AVENUE,BX,10473,WED,10-11:30AM
FP,FERNANDE VALME' MINISTRIES INC,(718) 284-1809,1120 FLATBUSH AVE,BK,11226,THUR,10-11AM
SK,FIRST BAPTIST CHURCH,(718) 446-0200,100-10 ASTORIA BLVD,QN,11369,WED,12-1:45PM
SK,FIRST CHURCH OF GOD IN CHRIST,(718) 712-4831,187-10 BAISLEY BLVD,QN,11412,WED,12-1:30PM
FP,"FIRST CHURCH OF GOD IN CHRIST, INC.",(718) 712-4831,187-10 BAISLEY BLVD,QN,11412,THUR,1:30-3PM
SK,FIRST PRESBYTERIAN CHURCH OF JAMAICA,(718) 526-4775,89-60 164TH STREET,QN,11432,WED,5:30-6:30PM
FP,FIRST PRESBYTERIAN CHURCH OF SPRINGFIELD GDNS,(718) 528-7744,216-02 137TH AVENUE,QN,11413,WED,11AM-1:30PM
FP,FIRST UNITED METHODIST CHURCH OF JAMAICA,(718) 739-2269,162-10 HIGHLAND AVENUE,QN,11432,MON,8:30-9:30AM
FP,FLATBUSH SDA CHURCH,718-693-9180,261 EAST 21ST STREET,BK,11226,MON,11AM-1PM
SK,FOOD BANK FOR NEW YORK CITY,212-665-8747,252 WEST 116TH STREET,NY,10026,MON-FRI,3:30-4:30PM
FP,"FOOD FIRST, INC",(718) 624-1950,165 CONOVER STREET,BK,11231,WED/FRI,11AM-1PM/10AM-12PM
FP,FOREST HILLS SENIORS CENTER,718-699-1010,108-25 62ND DRIVE,QN,11375,"TH(2,3,4,5)/W (LAST)",8:30-9:30AM/6-8PM
SK,FRATERNITE NOTRE DAME,212-876-5855,2290 FIRST AVENUE,NY,10035,"TUE,W,THUR,FRI",10:30AM-1PM
FP,"FRATERNITE NOTRE DAME, INC",212-876-5855,2290 FIRST AVENUE,NY,10035,FRI,2-4PM
FPHA,GAY MEN'S HEALTH CRISIS,212-367-1409,307 WEST 38TH STREET,NY,10018,"WED,FRI/THUR",1-4PM/11AM-2PM
SKH,GAY MEN'S HEALTH CRISIS (GMHC),212-367-1257,307 WEST 38TH STREET,NY,10018,MON-THUR/FRI,12-2:45/5-7:30PM
FP,"GENESIS TRANSITIONAL HOUSING MINISTRIES, INC",718-217-6530,195-12 HOLLIS AVENUE,QN,11412,FRI,9AM-12PM
FP,GETHSEMANE BAPTIST CHURCH,(718) 294-7129,771 FAIRMOUNT PLACE,BX,10460,THUR,8-10AM
FP,GETHSEMANE SDA CHURCH,718-467-4181,357 EMPIRE BLVD,BK,11225,SUN/WED,12-1PM/5-6PM
FP,GETHSEMANE SOUL SAVING STATION,(718) 949-8662,145-41 228TH STREET,QN,11413,WED,1-2PM
FP,GIVE THEM TO EAT,718-993-8378,800 EAST 156TH STREET,BX,10455,FRI,1:30-3:30PM
FP,GLOVER MEMORIAL BREAD OF LIFE FOOD PANTRY,347-432-3065,2134 DEAN STREET,BK,11233,THUR,9-11AM
FP,GOD'S BATTALION OF PRAYER CHURCH,(718) 774-5447,661 LINDEN BOULEVARD,BK,11203,"TUE,THUR",9AM-12PM
FP,"GOD'S DELIVERANCE TEMPLE, INC",347-234-3828,438 RALPH AVENUE,BK,11233,TUE,11AM-12PM
FP,GOOD NEWS DELIVERANCE TABERNACLE,(718) 235-0065,442 CLEVELAND STREET,BK,11208,SAT,11AM-1PM
FP,GOOD SHEPHERD FOOD PANTRY,(212) 567-1300,104 COOPER ST,NY,10034,SAT,7:30-9AM
FP,GOSPEL ASSEMBLY - QUEENS,718-454-0192,109-14 FARMERS BLVD,QN,11412,SAT,10AM -12PM
FP,GRACE EPISCOPAL CHURCH  (BX),(718) 542-1946,1909 VYSE AVE,BX,10460,THUR,9AM-12PM
SK,GRAND CENTRAL NEIGHBORHOOD SOCIAL SERVICE CORP.,(212) 883-0680,120 EAST 32ND STREET,NY,10016,MON-SUN,6:30-7:30A/12-1:30P/4-6P
FP,GRAND CONCOURSE SDA CHURCH,718-681-2232,1275 GRAND CONCOURSE,BX,10452,WED(CLOSED 5TH WE,1):30-4PM
FP,GREENPOINT REFORMED CHURCH FOOD PANTRY,718-383-5941,136 MILTON STREET,BK,11222,THUR,4-7PM
FP,GUTTMAN COMMUNITY COLLEGE CAMPUS PANTRY,646-313-8857,50 WEST 40TH STREET,NY,10018,"M,TUE,THU, F/W",8AM-5PM/9AM-5PM
FP,HANSON PLACE SEVENTH DAY ADVENTIST CHURCH,(718) 399-7513,150 SOUTH PORTLAND AVENUE,BK,11217,THUR,3-5PM
FP,HARLEM COMMUNITY NUTRITIONAL SERVICES,(212) 666-7538,132 WEST 125TH STREET,NY,10027,TUE-THUR,10-11:30AM
FP,HARVEST OF SOULS/HOLY GHOST,212-369-6354,13-15 EAST 125TH STREET,NY,10035,FRI,10AM-12PM
FP,HEALTH ESSENTIAL ASSOCIATION CPMM,646-515-6898,2336 86TH STREET,BK,11214,"THUR (1,3)",10AM-12PM
FP,HEAVENLY VISION CHRISTIAN CENTER,(718) 220-8124,2868 JEROME AVE,BX,10468,TUE,9-11AM
FP,HEBREW EDUCATIONAL SOCIETY,718-241-3000,9502 SEAVIEW AVENUE,BK,11236,"TUE,THUR/WED",10AM-1PM/4-7PM
FP,HEBRON SDA CHURCH,(718) 778-6454,1256 DEAN STREET,BK,11216,"WED(1,3)",9-10:30AM
FP,HOLDING HANDS MINISTRIES,718-238-4000,6324 7TH AVENUE,BK,11220,SAT,9AM-12:30PM
FP,HOLLIS AVENUE CONGREGATIONAL CHURCH,(718) 468-1498,211-04 HOLLIS AVE,QN,11429,TUE,11AM-1PM
FP,HOLLIS COMMUNITY CHRISTIAN CENTER,718-217-3999,191-22 JAMAICA AVENUE,QN,11423,SAT,10AM-12PM
FP,HOLLIS PRESBYTERIAN CHURCH,718-776-4646,100-50 196TH STREET,QN,11423,MON,11AM-12PM
FP,HOLY CROSS FOOD PANTRY - BROOKLYN,(718) 469-5900,2530 CHURCH AVENUE,BK,11226,"TUE,THUR",2-3:30PM
SK,HOLY GHOST PENTECOSTAL CHURCH,212-369-6354,13-15 EAST 125TH STREET,NY,10035,WED,12-1:30PM
FP,"HOLY GHOST UPPER ROOM FILLING STATION MINISTRY, IN",(718) 529-2060,146-17 133RD AVENUE,QN,11436,SAT,10-11AM
FP,HOLY INNOCENTS,718-469-9500,279 EAST 17TH STREET,BK,11226,WED,9:30-11AM
FP,HOLY NAME OF JESUS - ST. GREGORY THE GREAT,(212) 932-8040,207 WEST 96TH STREET,NY,10025,MON,11AM-2:30PM
FP,HOLY TABERNACLE CHURCH INC.,(718) 293-9862,3780 THIRD AVENUE,BX,10456,TUE,4:30-5PM
FP,"HOLY TEMPLE CHURCH, INC",347-686-0501,136-25 SPRINGFIELD BLVD,QN,11413,SAT,11AM-12PM
SK,HOPE CENTER DEVELOPMENT CORPORATION,(718) 385-1043,409 EAST 95TH STREET,BK,11212,"SAT(1,2,3,4)",11AM-1:30PM
FP,HOPE CENTER DEVELOPMENT CORPORATION,(718) 385-1043,414 EAST 95TH STREET,BK,11212,"SAT(1,2,3,4)",11AM-1:30PM
SK,HOPE CITY EMPOWERMENT CENTER,718-857-5698,650-656 WASHINGTON AVENUE,BK,11238,"TUE,THU,F/SAT",12:30-1:30PM/9-11AM
FP,HOREB SDA COMMUNITY SERVICES,718-778-7373,520 KINGSTON AVE,BK,11225,TUE,10-11AM
FP,ICNA FLUSHING FOOD PANTRY,929-329-7986,140-32 CHERRY AVENUE,QN,11355,WED,12-2PM
FP,ICNA RELIEF USA FOOD PANTRY,718-658-2028,273 NEPTUNE AVENUE,BK,11235,MON,11AM-1PM
FP,INSPIRATIONAL GOSPEL ASSEMBLY,347-758-6447,1211 BROOK AVENUE,BX,10456,SAT,11AM-1PM
FP,INTERNATIONAL PENTECOSTAL CHURCH,212-568-3531,619 WEST 179TH STREET,NY,10033,TUE,12-2PM
FP,INTERNATIONAL PENTECOSTAL CITY MISSION,(718) 342-9005,9202-14 CHURCH AVE,BK,11236,SAT,11AM-1PM
SK,IRIS HOUSE,646-548-0100,2348 ADAM CLAYTON POWELL JR. BLVD,NY,10030,"TUE,W,THUR,F",1-2PM
SK,ISAIAH'S TEMPLE OF MT. HOPE,(718) 277-4038,862 GLENMORE AVE,BK,11208,"TUE,THUR",2-4PM
FP,JAMAICA BENEVOLENT ARM & CULTURAL CENTER,646-907-9858,2230 LIGHT STREET,BX,10466,"SAT (2,4)",10AM-12PM
FP,JAMAICA HISPANIC SDA CHURCH,718-736-5291,88-28 161 STREET,QN,11432,SUN,8-9AM
FP,JAMAICA SEVENTH DAY ADVENTIST CHURCH,(718) 658-9784,88-28 163 STREET,QN,11432,SUN,9:30-11:30AM
SK,JAN HUS PRESBYTERIAN CHURCH/HOMELESS OUTREACH,N21D2 -A2D8V8-O6C74A3CY,1745 1st Avenue,NY,10128,TUE,5:45-7PM
FP,JAN HUS PRESBYTERIAN CHURCH/HOMELESS OUTREACH,N(2D1 2A) D2V88O-C67A4C3Y,1745 1st Avenue,NY,10128,"WED, FRI",9AM - 1PM
FP,JESUS IS THE ANSWER - J.I.T.A. COMMUNITY OUTREACH,718-908-6303,103-02 171ST STREET,QN,11433,"TUE, SAT",3-5PM
FPK,JEWISH COMMUNITY CENTER OF STATEN ISLAND,718-475-5242,1466 MANOR ROAD,SI,10314,M-THUR/FRI,10:30A-7/10:30A-12:30P
FPK,JEWISH COMMUNITY COUNCIL OF CANARSIE   #1,718-922-2474,1170 PENNSYLVANIA AVE,BK,11239,WED,9-11AM
FPK,JEWISH COMMUNITY COUNCIL OF PELHAM PARKWAY,(718) 792-4744,2157 HOLLAND AVE,BX,10462,"TUE,WED,THUR",12-4PM
